,id,title,aviation_prompt
0,37516523,Unity has seemingly silently removed its GitHub repo that tracks ToS changes,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: Unity has seemingly silently removed its GitHub repo that tracks ToS changes"
1,37516542,Godot Development Fund,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: Godot Development Fund"
2,37516544,"Salesforce to Hire 3,300 People After Layoffs Earlier This Year","Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: Salesforce to Hire 3,300 People After Layoffs Earlier This Year"
3,37516665,Blogscroll – an open-source directory of personal blogs and digital gardens,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: Blogscroll – an open-source directory of personal blogs and digital gardens"
4,37516769,Bluesky Exploits,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: Bluesky Exploits"
5,37516835,Cannabis use disorder and subsequent risk of depression and bipolar disorder,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: Cannabis use disorder and subsequent risk of depression and bipolar disorder"
6,37517118,A mathematical formalization of dimensional analysis (2012),"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: A mathematical formalization of dimensional analysis (2012)"
7,37517216,Plex to block all servers hosted at Hetzner,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: Plex to block all servers hosted at Hetzner"
8,37517246,Why Does America Provide More Space for Storing Cars Than Housing People?,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: Why Does America Provide More Space for Storing Cars Than Housing People?"
9,37517329,Linear code is more readable,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: Linear code is more readable"
10,37517361,How can we have a proper debate when we no longer speak the same language?,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: How can we have a proper debate when we no longer speak the same language?"
11,37517368,95 bits per second,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: 95 bits per second"
12,37517473,TSA officers accused of stealing from passengers,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: TSA officers accused of stealing from passengers"
13,37517567,B612 Font Family,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: B612 Font Family"
14,37517844,Patience for after-hours work socializing is wearing thin,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: Patience for after-hours work socializing is wearing thin"
15,37517861,Find That Obscure Function with This Interactive Map of the Linux Kernel,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: Find That Obscure Function with This Interactive Map of the Linux Kernel"
16,37518030,Human trials of artificial wombs could start soon,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: Human trials of artificial wombs could start soon"
17,37518401,Gaussian Splatting: The next big thing in 3D [video],"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: Gaussian Splatting: The next big thing in 3D [video]"
18,37518511,AI voices are taking over the internet,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: AI voices are taking over the internet"
19,37518709,United Auto Workers launches a historic strike against all Big 3 automakers,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: United Auto Workers launches a historic strike against all Big 3 automakers"
20,37518874,Custom Minecraft Classic client written from scratch in C,"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: Custom Minecraft Classic client written from scratch in C"
21,37518882,Exposing a Podcast Scam [video],"Is the following news story related to aviation or not related to aviation? 
    The story has to be directly, explicitly related to aviation. 
    Provide a true or false answer, and then a justification for the answer. 
    Here is the title of the story: Exposing a Podcast Scam [video]"
